序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
125,aime_Qwen3-0.6B_S32,64,1,1,1,60,0.016666666666666666,0.18206444334127475,11431,60304,405619586916454.4,1484816691353.6
126,aime_Qwen3-0.6B_S32,64,1,1,1,60,0.016666666666666666,0.18924240663357553,12717,65361,423368439032524.8,1532419887803.7334
127,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.0,0.21060121651268482,15542,71444,333077776190873.6,1386854665992.5334
128,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.016666666666666666,0.1632016230890972,12261,56151,309805538999927.44,1300979628134.4
129,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.0,0.164379990220648,15094,65543,318259349235140.25,1308756277563.7334
130,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.016666666666666666,0.16354983217128136,14523,48807,233082270741282.12,1081493127517.8667
131,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.0,0.14569788173863554,17108,50189,263092188094293.34,1234575907191.4666
132,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.016666666666666666,0.1808070473684454,14554,42240,237362302546969.6,1110322139451.7334
133,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.03333333333333333,0.18613249773601248,16659,35397,216329634526830.94,1109692970487.4666
134,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.0,0.15431074565003206,16338,36787,206249546092646.4,1053459575458.1333
135,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.0,0.13054835989087313,19148,41934,208347596327466.66,1056291792759.4667
136,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.0,0.13698425383917454,20029,29432,160496113551530.66,869306736366.9333
137,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.0,0.14871243071472942,20423,29588,172325919926877.88,924659298474.6666
138,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.016666666666666666,0.14381164435552496,19440,29937,158830177294054.4,863052680772.2667
139,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.11710139868676105,27446,27446,137094310277828.27,758694518391.4667
140,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.13293349944882243,27972,27972,141254791994444.8,776796727620.2667
141,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.1264491406010125,25117,25117,129748981476061.86,713789467613.8667
142,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.6908665171740388,66762,1824710,118382958936823.47,494711615552.0
143,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.68902413725768,62821,1808851,118382958936823.47,494711615552.0
144,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.6929597346896077,65476,1840033,118382958936823.47,494711615552.0
145,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6519275906019514,67180,931607,86563234142246.4,417600639859.2
146,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6548790688376097,67113,929296,86732165278647.47,419172337024.0
147,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6447214982077347,65784,922833,86944901773960.53,421623167287.4667
148,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.16666666666666666,0.6094439861670383,66676,474439,64295488797478.4,340045675857.06665
149,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.15,0.619988010102336,65336,491436,65299922493896.53,346596587217.06665
150,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.16666666666666666,0.6070068354635972,65054,498131,61090879838852.266,319924703705.6
151,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.08333333333333333,0.5436195386338845,65231,258068,52415191930722.13,295724512085.3333
152,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.11666666666666667,0.5174877727836866,65551,262167,50230296420923.734,282296398062.93335
153,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.18333333333333332,0.5487111627914716,67666,249134,50946358154286.93,286401909277.86664
154,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.05,0.4633782723486949,66022,126369,40374495645418.664,235088971592.53333
155,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.06666666666666667,0.4770425688960095,69545,135509,37482368108983.47,216612857753.6
156,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.05,0.47121688718712884,72187,135783,40715520605431.47,237359325623.46667
157,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.05,0.3677720362926742,69992,69992,31167381670626.133,184558833028.26666
158,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.03333333333333333,0.3412894288144458,64558,64558,31931271976635.734,189316273664.0
159,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.03333333333333333,0.37209248790858557,68998,68998,31406746214830.934,185966958493.86667
160,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7341773450204104,72323,1612146,2056582754956603.8,12403523896422.4
161,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7392792766621977,69912,1580288,2056582754956603.8,12403523896422.4
162,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7239548297145372,71448,1596350,2056582754956603.8,12403523896422.4
163,aime_Qwen3-32B_S8,16,4,2,1,60,0.3333333333333333,0.6907690537713229,70731,828865,1606137695492232.5,9844546454715.732
164,aime_Qwen3-32B_S8,16,4,2,1,60,0.2833333333333333,0.7149755949230526,70418,866221,1657574331765905.0,10168122235101.867
165,aime_Qwen3-32B_S8,16,4,2,1,60,0.3,0.694734386489149,68408,881673,1723849017279018.8,10594181304029.867
166,aime_Qwen3-32B_S4,16,4,2,1,60,0.23333333333333334,0.6660473135851313,73199,475928,1278071801672362.8,7909965219276.8
167,aime_Qwen3-32B_S4,16,4,2,1,60,0.2833333333333333,0.6547993742944033,71425,469360,1357515498193297.0,8420805438259.2
168,aime_Qwen3-32B_S4,16,4,2,1,60,0.25,0.6833786960391913,73419,481384,1424863509461743.0,8843772474606.934
169,aime_Qwen3-32B_S2,16,4,2,1,60,0.21666666666666667,0.6596518934178243,69879,255027,1052012568224187.8,6545659593710.934
170,aime_Qwen3-32B_S2,16,4,2,1,60,0.21666666666666667,0.5808239992893323,65546,251827,1268041866389435.8,7919237590971.733
171,aime_Qwen3-32B_S2,16,4,2,1,60,0.25,0.6431314957649565,65221,267950,1164721772255112.5,7257918634274.134
172,aime_Qwen3-32B_S1,16,4,2,1,60,0.15,0.551050208830526,73028,146205,871852916107255.5,5427846526933.333
173,aime_Qwen3-32B_S1,16,4,2,1,60,0.15,0.5571346707525192,74363,148553,1018762728616226.1,6363290752853.333
174,aime_Qwen3-32B_S1,16,4,2,1,60,0.18333333333333332,0.5820249072892936,68356,136547,947959936105659.8,5912495703278.934
175,aime_Qwen3-14B_S64,64,1,1,1,60,0.06666666666666667,0.3879261813769396,44445,122746,1.4939899740064998e+16,86944308177203.2
176,aime_Qwen3-14B_S64,64,1,1,1,60,0.06666666666666667,0.3860469093504927,43883,124827,1.4939899740064998e+16,86944308177203.2
177,aime_Qwen3-14B_S64,64,1,1,1,60,0.06666666666666667,0.3737360727433644,44130,124857,1.4939899740064998e+16,86944308177203.2
178,aime_Qwen3-14B_S32,64,1,1,1,60,0.03333333333333333,0.3574198086883897,44056,96535,1.2710673261174686e+16,76188768780689.06
179,aime_Qwen3-14B_S32,64,1,1,1,60,0.08333333333333333,0.3809820025850846,38675,95268,1.2466897448139806e+16,74741718242073.6
180,aime_Qwen3-14B_S32,64,1,1,1,60,0.03333333333333333,0.3663912280814566,42691,113132,1.282112520810042e+16,76993553568473.6
181,aime_Qwen3-14B_S16,64,1,1,1,60,0.06666666666666667,0.38297998921477266,45687,89943,1.1331006239714134e+16,69219873047419.734
182,aime_Qwen3-14B_S16,64,1,1,1,60,0.05,0.34404469784280534,44500,80408,1.0487042933755246e+16,63843488920401.07
183,aime_Qwen3-14B_S16,64,1,1,1,60,0.06666666666666667,0.33555544470341214,46588,101467,1.2410099686097574e+16,75656469041591.47
184,aime_Qwen3-14B_S8,64,1,1,1,60,0.08333333333333333,0.3670093321914372,44951,83058,9873145045495924.0,61229321739328.0
185,aime_Qwen3-14B_S8,64,1,1,1,60,0.08333333333333333,0.3681698901294293,44791,77959,9796207451522292.0,60647771162355.2
186,aime_Qwen3-14B_S8,64,1,1,1,60,0.08333333333333333,0.37435983900227887,47389,80250,9978983053575116.0,61745648902182.4
