序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
20,aime_Qwen3-32B_S4,8,8,2,3,60,0.29444444444444445,0.6952836407538365,85836.33333333333,587150.3333333334,715187837421960.5,4443840578065.066
21,aime_Qwen3-32B_S2,8,8,2,3,60,0.25,0.6355420112009394,83613.66666666667,321807.3333333333,592569623637811.2,3699358466215.8223
22,aime_Qwen3-32B_S1,8,8,2,3,60,0.18888888888888888,0.5573928623789696,85424.66666666667,170868.0,426048671377038.25,2654763371096.1777
23,aime_Qwen3-32B_S4,4,16,4,3,60,0.26666666666666666,0.7268114921376471,75945.0,1095118.0,724857092261435.8,4498828620407.467
24,aime_Qwen3-32B_S2,4,16,4,3,60,0.21666666666666667,0.6724303574951769,76182.33333333333,581598.3333333334,614500337715803.0,3836435055786.6665
25,aime_Qwen3-32B_S1,4,16,4,3,60,0.18333333333333335,0.6059459699005977,81474.0,325617.6666666667,487246168810316.8,3044300506368.0
26,aime_Qwen3-32B_S2,2,32,4,3,60,0.21666666666666667,0.7023860457487312,80550.66666666667,601600.0,506911117859950.94,3154931603703.467
27,aime_Qwen3-32B_S1,2,32,4,3,60,0.17777777777777778,0.6198170545971439,82669.0,330844.3333333333,429404193414656.0,2676188395298.1333
28,aime_Qwen3-32B_S1,1,64,4,3,60,0.16666666666666666,0.6639035159458684,78875.0,315134.0,422168620716253.8,2630195489518.933
29,aime_Qwen3-14B_S64,64,1,1,3,60,0.06666666666666667,0.3825697211569323,44152.666666666664,124143.33333333333,1.4939899740064998e+16,86944308177203.2
30,aime_Qwen3-14B_S32,64,1,1,3,60,0.049999999999999996,0.3682643464516436,41807.333333333336,101645.0,1.2666231972471638e+16,75974680197078.75
31,aime_Qwen3-14B_S16,64,1,1,3,60,0.061111111111111116,0.3541933772536634,45591.666666666664,90606.0,1.1409382953188984e+16,69573277003137.43
32,aime_Qwen3-14B_S8,64,1,1,3,60,0.08333333333333333,0.36984635377438185,45710.333333333336,80422.33333333333,9882778516864444.0,61207580601288.53
33,aime_Qwen3-14B_S4,64,1,1,3,60,0.061111111111111116,0.3481734893450052,54268.666666666664,85307.0,9374098882913478.0,58561221362740.625
