序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
113,aime_Qwen3-0.6B_S2,4,16,4,1,60,0.06666666666666667,0.47660869767611735,34113,249220,1300527855935786.8,3740490649608.533
114,aime_Qwen3-0.6B_S2,4,16,4,1,60,0.08333333333333333,0.46417817509122855,31264,222450,1166855493092548.2,3462697056025.6
115,aime_Qwen3-0.6B_S1,4,16,4,1,60,0.03333333333333333,0.4219326529267974,29131,114821,678291918501896.5,2297151661141.3335
116,aime_Qwen3-0.6B_S1,4,16,4,1,60,0.06666666666666667,0.40940340195357244,27923,110954,597344264387490.1,2108770985156.2666
117,aime_Qwen3-0.6B_S1,4,16,4,1,60,0.05,0.398220523171729,30603,117917,727201884707310.9,2475143248110.933
118,aime_Qwen3-14B_S1,1,64,4,1,60,0.15,0.603081491673505,53100,205083,1.9449245188752212e+16,104986639656029.86
119,aime_Qwen3-14B_S1,1,64,4,1,60,0.15,0.603081491673505,53100,205083,1.9449245188752212e+16,104986639656029.86
120,aime_Qwen3-14B_S1,1,64,4,1,60,0.15,0.603081491673505,53100,205083,1.9449245188752212e+16,104986639656029.86
121,aime_Qwen3-0.6B_S64,64,1,1,1,60,0.1,0.42599193453064926,36363,1580369,2082480066194159.0,5987506497066.667
122,aime_Qwen3-0.6B_S64,64,1,1,1,60,0.1,0.4201518062424126,35016,1560012,2082480066194159.0,5987506497066.667
123,aime_Qwen3-0.6B_S64,64,1,1,1,60,0.1,0.42105049210991435,36064,1536265,2082480066194159.0,5987506497066.667
124,aime_Qwen3-0.6B_S32,64,1,1,1,60,0.1,0.37860585498370625,36147,782420,1282904499954961.0,4445800317371.733
125,aime_Qwen3-0.6B_S32,64,1,1,1,60,0.08333333333333333,0.3885220877703237,34653,796751,1309415661934455.5,4527122037606.4
126,aime_Qwen3-0.6B_S32,64,1,1,1,60,0.08333333333333333,0.36818800381937156,33997,787867,1249786583494468.2,4308241031927.467
127,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.016666666666666666,0.3154542584661461,31563,422588,780895209160354.1,3128490773802.6665
128,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.06666666666666667,0.3013767590693906,34642,411865,783407391824913.1,3138595783176.533
129,aime_Qwen3-0.6B_S16,64,1,1,1,60,0.05,0.3134169903243685,31917,416139,781761883929258.6,3138953070890.6665
130,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.08333333333333333,0.31590143357044703,32678,202044,528778276973209.6,2348645275221.3335
131,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.03333333333333333,0.26711687343074236,32505,208849,516419365278412.8,2344865369045.3335
132,aime_Qwen3-0.6B_S8,64,1,1,1,60,0.05,0.3068009029473548,31171,208021,517169018222839.44,2343041630404.2666
133,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.03333333333333333,0.23476775705069228,30119,106854,359065468726348.8,1749867188437.3333
134,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.016666666666666666,0.2425717635708483,30492,104575,317999723514376.56,1595981045606.4
135,aime_Qwen3-0.6B_S4,64,1,1,1,60,0.0,0.1766347984714196,30566,104993,321803969492838.4,1601713916484.2666
136,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.0,0.17187582426431963,26218,49985,197403782809762.12,1051692761335.4667
137,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.0,0.16147591465654848,29142,51481,213553518720469.34,1133099505706.6667
138,aime_Qwen3-0.6B_S2,64,1,1,1,60,0.016666666666666666,0.16395071328370817,26105,51608,209312252478873.6,1107685723298.1333
139,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.11710139868676105,27446,27446,136013139196467.2,756562768093.8667
140,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.13293349944882243,27972,27972,141039485788569.6,774627661670.4
141,aime_Qwen3-0.6B_S1,64,1,1,1,60,0.0,0.1264491406010125,25117,25117,128549383705856.0,711229843626.6666
142,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.6908665171740388,66762,1831194,1.1030395232515456e+16,33824719616307.2
143,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.6891287165919533,62752,1815266,1.1030395232515456e+16,33824719616307.2
144,aime_Qwen3-1.7B_S32,32,2,1,1,60,0.21666666666666667,0.6929597346896077,65476,1846517,1.1030395232515456e+16,33824719616307.2
145,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6519275906019514,67180,936129,6838023429772983.0,24998016445696.0
146,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6564198663481398,67489,931723,6681324020646225.0,24738820927744.0
147,aime_Qwen3-1.7B_S16,32,2,1,1,60,0.2,0.6462622957182649,66160,926240,6642798495342255.0,24468417650372.266
148,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.16666666666666666,0.6094439861670383,66676,476816,4177877846415227.5,17799840490342.4
149,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.15,0.619988010102336,65336,492368,4334788335055031.5,18370608173329.066
150,aime_Qwen3-1.7B_S8,32,2,1,1,60,0.16666666666666666,0.6102439622080649,65272,502470,4242177645373785.5,17985539551735.465
151,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.08333333333333333,0.5461139919204676,65481,260676,2729011061715725.0,12961688740403.2
152,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.11666666666666667,0.5182304462415713,65519,264262,2792288546974289.0,13182890697804.8
153,aime_Qwen3-1.7B_S4,32,2,1,1,60,0.18333333333333332,0.5487111627914716,67666,252078,2761309084751556.5,12966179277661.867
154,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.05,0.4633782723486949,66022,127532,1690643991222711.5,8613282528733.866
155,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.06666666666666667,0.4770425688960095,69545,136491,1837386472082649.5,9263460756778.666
156,aime_Qwen3-1.7B_S2,32,2,1,1,60,0.05,0.47121688718712884,72187,135783,1806697162489109.2,9104462347904.0
157,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.05,0.3677720362926742,69992,69992,1097612883150545.1,5903768877201.066
158,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.03333333333333333,0.3412894288144458,64558,64558,1059700704659191.5,5695201031684.267
159,aime_Qwen3-1.7B_S1,32,2,1,1,60,0.03333333333333333,0.37209248790858557,68998,68998,1120035944254528.0,6050828130487.467
160,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7341773450204104,72323,1612146,8.486497762575214e+16,483764810258449.06
161,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7392792766621977,69912,1580288,8.486497762575214e+16,483764810258449.06
162,aime_Qwen3-32B_S16,16,4,2,1,60,0.35,0.7239548297145372,71448,1596350,8.486497762575214e+16,483764810258449.06
163,aime_Qwen3-32B_S8,16,4,2,1,60,0.3333333333333333,0.6907690537713229,70731,828865,6.154056702852303e+16,364858070593066.7
164,aime_Qwen3-32B_S8,16,4,2,1,60,0.2833333333333333,0.7149755949230526,70418,866221,6.115323427270899e+16,362337274109909.3
165,aime_Qwen3-32B_S8,16,4,2,1,60,0.3,0.694734386489149,68408,881673,6.2310698133997704e+16,369718281592277.3
166,aime_Qwen3-32B_S4,16,4,2,1,60,0.23333333333333334,0.6660473135851313,73199,475928,4.5090651737474904e+16,273608207277294.94
167,aime_Qwen3-32B_S4,16,4,2,1,60,0.2833333333333333,0.6547993742944033,71425,469360,4.35741263153243e+16,264875548551441.06
168,aime_Qwen3-32B_S4,16,4,2,1,60,0.25,0.6833786960391913,73419,481384,4.315700338159794e+16,261513867365068.8
169,aime_Qwen3-32B_S2,16,4,2,1,60,0.21666666666666667,0.6596518934178243,69879,255027,2.986431078947455e+16,183956344512179.2
170,aime_Qwen3-32B_S2,16,4,2,1,60,0.21666666666666667,0.5808239992893323,65546,251827,3.0184445901975816e+16,185961596015010.12
171,aime_Qwen3-32B_S2,16,4,2,1,60,0.25,0.6431314957649565,65221,267950,2.9767785227230292e+16,183435416532872.53
172,aime_Qwen3-32B_S1,16,4,2,1,60,0.15,0.551050208830526,73028,146205,2.0448168022448932e+16,127193368448298.67
173,aime_Qwen3-32B_S1,16,4,2,1,60,0.15,0.5571346707525192,74363,148553,2.1363297206522148e+16,132540335530956.8
174,aime_Qwen3-32B_S1,16,4,2,1,60,0.18333333333333332,0.5820249072892936,68356,136547,1.9623048041350612e+16,122275044048008.53
175,aime_Qwen3-14B_S64,64,1,1,1,60,0.4666666666666667,0.6645034873594976,76806,3352925,6.874997054063497e+16,380533151732629.3
176,aime_Qwen3-14B_S64,64,1,1,1,60,0.4666666666666667,0.673094323445758,77812,3434560,6.874997054063497e+16,380533151732629.3
177,aime_Qwen3-14B_S64,64,1,1,1,60,0.4666666666666667,0.6632115374016391,80594,3553390,6.874997054063497e+16,380533151732629.3
178,aime_Qwen3-14B_S32,64,1,1,1,60,0.43333333333333335,0.6318069703159209,77151,1836496,5.00999097238464e+16,291374569293853.9
179,aime_Qwen3-14B_S32,64,1,1,1,60,0.4,0.6422507238057665,76465,1866754,4.950959110940645e+16,287631595228138.7
180,aime_Qwen3-14B_S32,64,1,1,1,60,0.4166666666666667,0.6395516766762558,80983,1866483,5.045155473461435e+16,293635044668637.9
181,aime_Qwen3-14B_S16,64,1,1,1,60,0.35,0.601572572951364,83682,1042948,3.602050368234794e+16,216114455444416.0
182,aime_Qwen3-14B_S16,64,1,1,1,60,0.35,0.61623993991183,85193,1082070,3.5050548774056404e+16,209206220905130.66
183,aime_Qwen3-14B_S16,64,1,1,1,60,0.35,0.6144386244097293,86031,1030130,3.5726300025563572e+16,213862194878425.6
184,aime_Qwen3-14B_S8,64,1,1,1,60,0.2833333333333333,0.6018125919491271,78883,530774,2.503874372326692e+16,153437822978547.2
185,aime_Qwen3-14B_S8,64,1,1,1,60,0.3333333333333333,0.6052814469469471,81188,528554,2.4650544956955844e+16,150830487923511.47
186,aime_Qwen3-14B_S8,64,1,1,1,60,0.3,0.600084572340884,86130,558401,2.4656806378580604e+16,150882771617331.2
187,aime_Qwen3-14B_S4,64,1,1,1,60,0.25,0.5133205265734287,88808,289403,1.736759587131974e+16,107630284519342.94
188,aime_Qwen3-14B_S4,64,1,1,1,60,0.23333333333333334,0.5421889069965908,84136,309185,1.7456916831885022e+16,108131712948070.4
189,aime_Qwen3-14B_S4,64,1,1,1,60,0.2,0.5380708537297001,85227,306872,1.7522839765277624e+16,108693612250999.47
